Skeletal Age,13-0,13-3,13-6,13-9,14-0,14-3,14-6,14-9,15-0,15-3,15-6,15-9,16-0,16-3,16-6,16-9,17-0,17-3,17-6,17-9,18-0,18-3,18-6,,,,
% of Mature Height,87.6,89,90.2,91.4,92.7,93.8,94.8,95.8,96.8,97.3,97.6,98,98.2,98.5,98.7,98.9,99.1,99.3,99.4,99.5,99.6,99.8,100,,,,
Ht. (inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
53,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,
54,61.6,60.7,,,,,,,,,,,,,,,,,,,,,,,,,
55,62.8,61.8,61,60.2,,,,,,,,,,,,,,,,,,,,,,,
56,63.9,62.9,62.1,61.3,60.4,,,,,,,,,,,,,,,,,,,,,,
57,65.1,64,63.2,62.4,61.5,60.8,60.1,,,,,,,,,,,,,,,,,,,,
58,66.2,65.2,64.3,63.5,62.6,61.8,61.2,60.5,,,,,,,,,,,,,,,,,,,
59,67.4,66.3,65.4,64.6,63.6,62.9,62.2,61.6,61,60.6,60.5,60.2,60.1,,,,,,,,,,,,,,
60,68.5,67.4,66.5,65.6,64.7,64,63.3,62.6,62,61.7,61.5,61.2,61.1,60.9,60.8,60.7,60.5,60.4,60.4,60.3,60.2,60.1,60,,,,
61,69.6,68.5,67.6,66.7,65.8,65,64.3,63.7,63,62.7,62.5,62.2,62.1,61.9,61.8,61.7,61.6,61.4,61.4,61.3,61.2,61.1,61,,,,
62,70.8,69.7,68.7,67.8,66.9,66.1,65.4,64.7,64.1,63.7,63.5,63.3,63.1,62.9,62.8,62.7,62.6,62.4,62.4,62.3,62.2,62.1,62,,,,
63,71.9,70.8,69.8,68.9,68,67.2,66.5,65.8,65.1,64.7,64.5,64.3,64.2,64,63.9,63.7,63.6,63.4,63.4,63.3,63.3,63.1,63,,,,
64,73.1,71.9,71,70,69,68.2,67.5,66.8,66.1,65.8,65.6,65.3,65.2,65,64.8,64.7,64.6,64.4,64.4,64.3,64.1,64,63.9,,,,
65,74.2,73,72.1,71.1,70.1,69.3,68.6,67.8,67.2,66.8,66.6,66.3,66.2,66,65.9,65.7,65.6,65.5,65.5,65.3,65.3,65.1,65,,,,
66,75.3,74.2,73.2,72.2,71.2,70.4,69.6,68.9,68.2,67.8,67.6,67.3,67.2,67,66.9,66.7,66.6,66.5,66.4,66.3,66.3,66.1,66,,,,
67,76.5,75.3,74.3,73.3,72.3,71.4,70.7,69.9,69.2,68.9,68.6,68.4,68.2,68,67.9,67.7,67.6,67.5,67.4,67.3,67.3,67.1,67,,,,
68,77.6,76.4,75.4,74.4,73.4,72.5,71.7,71,70.3,69.9,69.7,69.4,69.2,69,68.9,68.8,68.6,68.5,68.4,68.3,68.3,68.1,68,,,,
69,78.8,77.5,76.5,75.5,74.4,73.6,72.8,72,71.3,70.9,70.7,70.4,70.3,70,69.9,69.8,69.6,69.5,69.4,69.3,69.3,69.1,69,,,,
70,79.9,78.7,77.7,76.6,75.5,74.6,73.8,73.1,72.3,71.9,71.7,71.4,71.3,71.1,70.9,70.8,70.6,70.5,70.4,70.4,70.3,70.1,70,,,,
71,,79.8,78.7,77.7,76.6,75.7,74.9,74.1,73.4,73,72.7,72.4,72.3,72.1,71.9,71.8,71.6,71.5,71.4,71.3,71.3,71.1,71,,,,
72,,80.9,79.8,78.8,77.7,76.8,75.9,75.2,74.4,74,73.8,73.5,73.3,73.1,73,72.8,72.7,72.5,72.4,72.4,72.3,72.1,72,,,,
73,,,80.9,79.9,78.7,78.8,77.8,77,76.2,75.4,75,74.5,74.3,74.1,74,73.8,73.7,73.5,73.4,73.4,73.3,73.1,73,,,,
74,,,,,79.8,78.9,78.1,77.2,76.4,76,75.8,75.5,75.4,75.1,75,74.8,74.7,74.5,74.4,74.4,74.3,74.1,74,,,,
75,,,,,80.9,80,79.1,78.3,77.5,77.1,76.8,76.5,76.4,76.1,76,75.8,75.7,75.5,75.4,75.4,75.3,75.2,75,,,,
76,,,,,,,80.2,79.3,78.5,78.1,77.9,77.6,77.4,77.2,77,76.8,76.7,76.5,76.5,76.4,76.3,76.2,76,,,,
77,,,,,,,,80.4,79.5,79.1,78.9,78.6,78.4,78.2,78,77.9,77.7,77.5,77.5,77.4,77.3,77.2,77,,,,
78,,,,,,,,,80.6,80.2,79.9,79.6,79.4,79.2,79,78.9,78.7,78.5,78.5,78.4,78.3,78.2,78,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
