Skeletal Age,6-0,6-3,6-6,6-9,7-0,7-3,7-6,7-9,8-0,8-3,8-6,8-10,9-0,9-3,9-6,9-9,10-0,10-3,10-6,10-9,11-0,11-3,11-6,11-9
% of Mature Height Ht. (inches),72,72.9,73.8,75.1,75.7,76.5,77.2,78.2,79,80.1,81,82.1,82.7,83.6,84.4,85.3,86.2,87.4,88.4,89.6,90.6,91,91.4,91.8
37,51.4,,,,,,,,,,,,,,,,,,,,,,,
38,52.8,52.1,51.5,,,,,,,,,,,,,,,,,,,,,
39,54.2,53.5,52.8,52,51.5,51,,,,,,,,,,,,,,,,,,
40,55.6,54.9,54.2,53.5,52.8,52.3,51.8,51.2,,,,,,,,,,,,,,,,
41,56.9,56.2,55.6,54.6,54.2,53.6,53.1,52.4,51.9,51.2,,,,,,,,,,,,,,
42,58.3,57.6,56.9,55.9,55.5,54.9,54.4,53.7,53.2,52.4,51.9,51.2,,,,,,,,,,,,
43,59.7,59,58.3,57.3,56.8,56.2,55.7,55,54.4,53.7,53.1,52.4,52,51.4,,,,,,,,,,
44,61.1,60.4,59.6,58.6,58.1,57.5,57,56.3,55.7,54.9,54.3,53.6,53.2,52.6,52.1,51.6,51,,,,,,,
45,62.5,61.7,61,59.9,59.4,58.8,58.3,57.5,57,56.2,55.6,54.8,54.4,53.8,53.3,52.8,52.2,51.5,,,,,,
46,63.9,63.1,62.3,61.3,60.8,60.1,59.6,58.8,58.2,57.4,56.8,56,55.6,55,54.5,53.9,53.4,52.6,52,51.3,,,,
47,65.3,64.5,63.7,62.6,62.1,61.4,60.9,60.1,59.5,58.7,58,57.2,56.8,56.2,55.7,55.1,54.5,53.8,53.2,52.5,51.9,51.6,51.4,51.2
48,66.7,65.8,65,63.9,63.4,62.7,62.2,61.4,60.8,59.9,59.3,58.5,58,57.4,56.9,56.3,55.7,54.9,54.3,53.6,53,52.7,52.5,52.3
49,68.1,67.2,66.4,65.2,64.7,64.1,63.5,62.7,62,61.2,60.5,59.7,59.3,58.6,58.1,57.4,56.8,56.1,55.4,54.7,54.1,53.8,53.6,53.4
50,69.4,68.6,67.8,66.6,66.1,65.4,64.8,63.9,63.3,62.4,61.7,60.9,60.5,59.8,59.2,58.6,58,57.2,56.6,55.8,55.2,54.9,54.7,54.5
51,70.8,70,69.1,67.9,67.4,66.7,66.1,65.2,64.6,63.7,63,62.1,61.7,61,60.4,59.8,59.2,58.4,57.7,56.9,56.3,56,55.8,55.6
52,72.2,71.3,70.5,69.2,68.7,68,67.4,66.5,65.8,64.9,64.2,63.3,62.9,62.2,61.6,61,60.3,59.5,58.8,58,57.4,57.1,56.9,56.6
53,73.6,72.7,71.8,70.6,70,69.3,68.7,67.8,67.1,66.2,65.4,64.6,64.1,63.4,62.8,62.1,61.5,60.6,60,59.2,58.5,58.2,58,57.7
54,,74.1,73.2,71.9,71.3,70.6,69.9,69.1,68.4,67.4,66.7,65.8,65.3,64.6,64,63.3,62.6,61.8,61.1,60.3,59.6,59.3,59.1,58.8
55,,,74.5,73.2,72.7,71.9,71.2,70.3,69.6,68.7,67.9,67,66.5,65.8,65.2,64.5,63.8,62.9,62.2,61.4,60.7,60.4,60.2,59.9
56,,,,74.6,74,73.2,72.5,71.6,70.9,69.9,69.1,68.2,67.7,67,66.4,65.7,65,64.1,63.3,62.5,61.8,61.5,61.3,61
57,,,,,,74.5,73.8,72.9,72.2,71.2,70.4,69.4,68.9,68.2,67.5,66.8,66.1,65.2,64.5,63.6,62.9,62.6,62.4,62.1
58,,,,,,,,74.2,73.4,72.4,71.6,70.6,70.1,69.4,68.7,68,67.3,66.4,65.6,64.7,64,63.7,63.5,63.2
59,,,,,,,,,74.7,73.7,72.8,71.9,71.3,70.6,69.9,69.2,68.4,67.5,66.7,65.8,65.1,64.8,64.6,64.3
60,,,,,,,,,,74.9,74.1,73.1,72.6,71.8,71.1,70.3,69.6,68.7,67.9,67,66.2,65.9,65.6,65.4
61,,,,,,,,,,,,74.3,73.8,73,72.3,71.5,70.8,69.8,69,68.1,67.3,67,66.7,66.4
62,,,,,,,,,,,,,,74.2,73.5,72.7,71.9,70.9,70.1,69.2,68.4,68.1,67.8,67.5
63,,,,,,,,,,,,,,,74.6,73.9,73.1,72.1,71.3,70.3,69.5,69.2,68.9,68.6
64,,,,,,,,,,,,,,,,,74.2,73.2,72.4,71.4,70.6,70.3,70,69.7
65,,,,,,,,,,,,,,,,,,74.4,73.4,72.5,71.7,71.4,71.1,70.8
66,,,,,,,,,,,,,,,,,,,74.7,73.7,72.9,72.5,72.2,71.9
67,,,,,,,,,,,,,,,,,,,,74.8,74,73.6,73.3,73
68,,,,,,,,,,,,,,,,,,,,,,74.7,74.4,74.1
