Skeletal Age,7-0,7-3,7-6,7-9,8-0,8-3,8-6,8-10,9-0,9-3,9-6,9-9,10-0,10-3,10-6,10-9,11-0,11-3,11-6,11-9
% of Mature Height Ht. (inches),71.2,72.2,73.2,74.2,75,76,77.1,78.4,79,80,80.9,81.9,82.8,84.1,85.6,87,88.3,89.7,89.1,89.7
37,52,51.2,,,,,,,,,,,,,,,,,,
38,53.4,52.6,51.9,51.2,,,,,,,,,,,,,,,,
39,54.8,54,53.3,52.6,52,51.3,,,,,,,,,,,,,,
40,56.2,55.4,54.6,53.9,53.3,52.6,51.9,51,,,,,,,,,,,,
41,57.6,56.8,56,55.3,54.7,53.9,53.2,52.3,51.9,51.3,,,,,,,,,,
42,59,58.2,57.4,56.6,56,55.3,54.5,53.8,53.2,52.5,51.9,51.3,,,,,,,,
43,60.4,59.6,58.7,58,57.3,56.6,55.8,54.8,54.4,53.8,53.2,52.5,51.9,51.1,,,,,,
44,61.8,60.9,60.1,59.3,58.7,57.9,57.1,56.1,55.7,55,54.4,53.7,53.1,52.3,51.4,,,,,
45,63.2,62.3,61.5,60.6,60,59.2,58.4,57.4,57,56.3,55.6,54.9,54.3,53.5,52.6,51.7,51,,,
46,64.6,63.7,62.8,62,61.3,60.5,59.7,58.7,58.2,57.5,56.9,56.2,55.6,54.7,53.7,52.9,52.1,51.9,51.6,51.3
47,66,65.1,64.2,63.3,62.7,61.8,61,59.9,59.5,58.8,58.1,57.4,56.8,55.9,54.9,54,53.2,53,52.7,52.4
48,67.4,66.5,65.6,64.7,64,63.2,62.3,61.2,60.8,60,59.3,58.6,58,57.1,56.1,55.2,54.4,54.1,53.9,53.5
49,68.8,67.9,66.9,66,65.3,64.5,63.6,62.5,62,61.3,60.6,59.8,59.2,58.3,57.2,56.3,55.5,55.2,55,54.6
50,70.2,69.3,68.3,67.4,66.7,65.8,64.9,63.8,63.3,62.5,61.8,61.1,60.4,59.5,58.4,57.5,56.6,56.4,56.1,55.7
51,71.6,70.6,69.7,68.7,68,67.1,66.1,65.1,64.6,63.8,63,62.3,61.6,60.6,59.6,58.6,57.8,57.5,57.2,56.9
52,73,72,71,70.1,69.3,68.4,67.4,66.3,65.8,65,64.3,63.5,62.8,61.8,60.7,59.8,58.9,58.6,58.4,58
53,74.4,73.4,72.4,71.4,70.7,69.7,68.7,67.6,67.1,66.3,65.5,64.7,64,63,61.9,60.9,60,59.8,59.5,59.1
54,,74.8,73.8,72.8,72,71.1,70,68.9,68.4,67.5,66.7,65.9,65.2,64.2,63.1,62.1,61.2,60.9,60.6,60.2
55,,,,74.1,73.3,72.4,71.3,70.2,69.9,68.8,68,67.2,66.4,65.4,64.3,63.2,62,62,61.7,61.3
56,,,,,74.7,73.8,72.6,71.4,70.8,70,69.2,68.4,67.6,66.6,65.4,64.4,63.1,63.1,62.8,62.4
57,,,,,,,73.9,72.7,72,71.3,70.5,69.6,69,67.8,66.6,65.5,64.3,64.3,64,63.5
58,,,,,,,,74,73.3,72.5,71.7,70.8,70.2,68.9,67.8,66.7,65.4,65.4,5.1,64.7
59,,,,,,,,,74.5,73.8,72.9,72,71.3,70.1,68.9,67.8,66.5,66.5,66.2,65.8
60,,,,,,,,,,,74.2,73.3,72.5,71.3,70.1,69,67.6,67.6,67.3,66.9
61,,,,,,,,,,,,74.5,73.7,72.4,71.3,70.1,68.8,68.8,68.5,68
62,,,,,,,,,,,,,74.9,73.6,72.4,71.3,69.9,69.9,69.6,69.1
63,,,,,,,,,,,,,,74.8,73.6,72.4,71,71,70.7,70.2
64,,,,,,,,,,,,,,,74.7,73.6,72.2,72.2,71.8,71.3
65,,,,,,,,,,,,,,,,74.7,73.3,3.3,72.9,72.5
66,,,,,,,,,,,,,,,,,74.4,74.4,74.1,73.6
67,,,,,,,,,,,,,,,,,,,,74.7
