Skeletal Age,12-0,12-3,12-6,12-9,13-0,13-3,13-6,13-9,14-0,14-3,14-6,14-9,15-0,15-3,15-6,15-9,16-0,16-3,16-6,16-9,17-0
% of Mature Height Ht. (inches),93.2,94.2,94.9,95.7,96.4,97.1,97.7,98.1,98.3,98.6,98.9,99.2,99.4,99.5,99.6,99.7,99.8,99.9,99.9,99.95,100
48,51.5,51,,,,,,,,,,,,,,,,,,,
49,52.6,52,51.6,51.2,,,,,,,,,,,,,,,,,
50,53.6,53.1,52.7,52.2,51.9,51.5,51.2,51,,,,,,,,,,,,,
51,54.7,54.1,53.7,53.3,52.9,52.5,52.2,52,51.9,51.7,51.6,51.4,51.3,51.3,51.2,51.2,51.1,51.1,51.1,51,51
52,55.8,55.2,54.8,54.3,53.9,53.6,53.2,53,52.9,52.7,52.6,52.4,52.3,52.3,52.2,52.2,52.1,52.1,52.1,52,52
53,56.9,56.3,55.8,55.4,55,54.6,54.2,54,53.9,53.8,53.6,53.4,53.3,53.3,53.2,53.2,53.1,53.1,53.1,53,53
54,57.9,57.3,56.9,56.4,56,55.6,55.3,55,54.9,54.8,54.6,54.4,54.3,54.3,54.2,54.2,54.1,54.1,54.1,54,54
55,59,58.4,58,57.5,57.1,56.6,56.3,56.1,56,55.8,55.6,55.4,55.3,55.3,55.2,55.2,55.1,55.1,55.1,55,55
56,60.1,59.4,59,58.5,58.1,57.7,57.3,57.1,57,56.8,56.6,56.5,56.3,56.3,56.2,56.2,56.1,56.1,56.1,56,56
57,61.2,60.5,60.1,59.6,59.1,58.7,58.3,58.1,58,57.8,57.6,57.5,57.3,57.3,57.2,57.2,57.1,57.1,57.1,57,57
58,62.2,61.6,61.1,60.6,60.2,59.7,59.4,59.1,59,58.8,58.6,58.5,58.3,58.3,58.2,58.2,58.1,58.1,58.1,58,58
59,63.3,62.6,62.2,61.7,61.2,60.8,60.4,60.1,60,59.8,59.7,59.5,59.4,59.3,59.2,59.2,59.1,59.1,59.1,59,59
60,64.4,63.7,63.2,62.7,62.2,61.8,61.4,61.2,61,60.9,60.7,60.5,60.4,60.3,60.2,60.2,60.1,60.1,60.1,60,60
61,65.5,64.8,64.3,63.7,63.3,62.8,62.4,62.2,62.1,61.9,61.7,61.5,61.4,61.3,61.2,61.2,61.1,61.1,61.1,61,61
62,66.5,65.8,65.3,64.8,64.3,63.9,63.5,63.2,63.1,62.9,62.7,62.5,62.4,62.3,62.2,62.2,62.1,62.1,62.1,62,62
63,67.6,66.9,66.4,65.8,65.3,64.9,64.5,64.2,64.1,63.9,63.7,63.5,63.4,63.3,63.2,63.2,63.1,63.1,63.1,63,63
64,68.7,67.9,67.4,66.9,66.4,65.9,65.5,65.2,65.1,64.9,64.7,64.5,64.4,64.3,64.3,64.2,64.1,64.1,64.1,64,64
65,69.7,69,68.5,67.9,67.4,66.9,66.5,66.3,66.1,65.9,65.7,65.5,65.4,65.3,65.3,65.2,65.1,65.1,65.1,65,65
66,70.8,70.1,69.5,69,68.5,68,67.6,67.3,67.1,66.9,66.7,66.5,66.4,66.3,66.3,66.2,66.1,66.1,66.1,66,66
67,71.9,71.1,70.6,70,69.5,69,68.6,68.3,68.2,68,67.7,67.5,67.4,67.3,67.3,67.2,67.1,67.1,67.1,67,67
68,73,72.2,71.7,71.1,70.5,70,69.6,69.3,69.2,69,68.8,68.6,68.4,68.3,68.3,68.2,68.1,68.1,68.1,68,68
69,74,73.2,72.7,72.1,71.6,71.1,70.6,70.3,70.2,70,69.8,69.6,69.4,69.3,69.3,69.2,69.1,69.1,69.1,69,69
70,,74.3,73.8,73.1,72.6,72.1,71.6,71.4,71.2,71,70.8,70.6,70.4,70.4,70.3,70.2,70.1,70.1,70.1,70,70
71,,,74.8,74.2,73.6,73.1,72.7,72.4,72.2,72,71.8,71.6,71.4,71.4,71.3,71.2,71.1,71.1,71.1,71,71
72,,,,,74.7,74.2,73.7,73.3,73.3,73,72.8,72.6,72.4,72.4,72.3,72.2,72.1,72.1,72.1,72,72
73,,,,,,,74.7,74.4,74.3,74,73.8,73.6,73.4,73.4,73.3,73.2,73.1,73.1,73.1,73,73
74,,,,,,,,,,,74.8,74.6,74.4,74.4,74.3,74.2,74.1,74.1,74.1,74,74
