CDC 2000 growth charts,Length (cm),,,,,,"Height (HT, cm)",,,,,,"Weight (WT, kg)",,,,,,"Body Mass Index (BMI, kg/m2)",,,,,,"Head Circumference (HC, cm)",,,,,
Age,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,
(years),L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S
0.00,1.267004226,49.98888408,0.0531121908,-1.295960857,49.28639612,0.0500855601,,,,,,,1.82,3.5,0.152,1.51,3.4,0.142,,,,,,,4.427825037,35.81366835,0.052172542,-1.298749689,34.7115617,0.046905108
0.04,0.5112376962,52.6959753,0.0486926838,-0.809249882,51.68358057,0.0468185454,,,,,,,1.55,4.0,0.146,1.36,3.8,0.138,,,,,,,4.310927464,37.19361054,0.047259148,-1.440271514,36.03453876,0.042999604
0.13,-0.45224446,56.62842855,0.0441168302,-0.050782985,55.28612813,0.0434439,,,,,,,1.07,4.9,0.136,1.11,4.5,0.132,,,,,,,3.869576802,39.20742929,0.040947903,-1.581016348,37.97671987,0.038067862
0.21,-0.990594599,59.60895343,0.0417955825,0.4768514065,58.09381906,0.0417161032,,,,,,,0.70,5.7,0.130,0.90,5.2,0.127,,,,,,,3.305593039,40.65233195,0.037027722,-1.593136386,39.3801263,0.035079612
0.29,-1.285837689,62.07700027,0.0404541256,0.8432996117,60.45980763,0.0407051733,,,,,,,0.42,6.4,0.125,0.73,5.9,0.123,,,,,,,2.720590297,41.76516959,0.034364245,-1.521492427,40.46773733,0.033096443
0.38,-1.43031238,64.2168641,0.0396338789,1.097562257,62.53669656,0.0400797646,,,,,,,0.22,7.0,0.121,0.59,6.4,0.120,,,,,,,2.16804824,42.66116148,0.032462175,-1.394565915,41.34841008,0.03170963
0.46,-1.47657547,66.1253149,0.0391238128,1.272509641,64.40632762,0.0396868449,,,,,,,0.08,7.6,0.118,0.46,7.0,0.117,,,,,,,1.675465689,43.40488731,0.031064702,-1.231713389,42.0833507,0.030709039
0.54,-1.456837849,67.8601799,0.0388119944,1.390428859,66.11841553,0.0394445547,,,,,,,-0.02,8.2,0.116,0.35,7.5,0.115,,,,,,,1.255160322,44.03609923,0.03002267,-1.046582628,42.71033603,0.029974303
0.63,-1.391898768,69.45908458,0.0386332091,1.466733925,67.70574419,0.0393047376,,,,,,,-0.09,8.6,0.115,0.25,7.9,0.113,,,,,,,0.91054114,44.58096912,0.029242173,-0.848932692,43.25428882,0.029430992
0.71,-1.29571459,70.94803912,0.0385468328,1.512301976,69.19123614,0.0392371101,,,,,,,-0.13,9.1,0.113,0.16,8.3,0.111,,,,,,,0.639510474,45.05761215,0.028660454,-0.645779124,43.73249646,0.029030379
0.79,-1.177919048,72.34586111,0.0385262623,1.534950767,70.59163924,0.0392216648,,,,,,,-0.16,9.5,0.112,0.07,8.7,0.110,,,,,,,0.436978864,45.4790756,0.0282336,-0.442165412,44.15742837,0.028739112
0.88,-1.045326049,73.6666541,0.038553387,1.540390875,71.91961673,0.0392446716,,,,,,,-0.17,9.8,0.111,-0.01,9.0,0.109,,,,,,,0.296275856,45.85505706,0.027929764,-0.24163206,44.53836794,0.028533537
0.96,-0.902800887,74.92129717,0.0386155012,1.532852892,73.1850104,0.0392964203,,,,,,,-0.18,10.2,0.111,-0.09,9.4,0.108,,,,,,,0.210107251,46.19295427,0.027725179,-0.046673786,44.88240562,0.028396382
1.04,-0.753908107,76.11837536,0.0387034611,1.51550947,74.39564379,0.0393698746,,,,,,,-0.18,10.5,0.110,-0.16,9.7,0.107,,,,,,,0.171147024,46.49853438,0.027601686,0.141031094,45.19507651,0.028314722
