sex,age,heightCoefficient,chronologicalAgeCoefficient,boneAgeCoefficient,constant,residualSD,r
male,"4, 5, 6, 7+",1.29,-7.3,0.0,82,4.0,0.84
male,8.0,1.22,-7.2,-0.4,82,3.6,0.89
male,8.5,1.23,-7.0,-0.7,82,3.6,0.89
male,9.0,1.22,-6.8,-0.8,82,3.6,0.89
male,9.5,1.21,-6.5,-0.8,82,3.6,0.89
male,10.0,1.2,-6.2,-1.0,83,3.6,0.89
male,10.5,1.19,-5.9,-1.2,84,3.6,0.89
male,11.0,1.16,-5.5,-1.6,89,3.5,0.89
male,11.5,1.13,-5.1,-2.0,94,3.5,0.89
male,12.0,1.08,-4.2,-2.6,98,3.5,0.88
male,12.5,1.03,-3.4,-3.2,103,3.5,0.88
male,13.0,0.98,-2.6,-3.8,108,3.1,0.89
male,13.5,0.94,-1.9,-4.4,113,3.1,0.89
male,14.0,0.9,-1.4,-4.5,114,2.9,0.9
male,14.5,0.87,-1.0,-4.6,114,2.9,0.9
male,15.0,0.84,-0.8,-3.8,104,2.5,0.92
male,15.5,0.82,-0.6,-3.1,94,2.5,0.92
male,16.0,0.88,-0.4,-2.4,71,2.0,0.96
male,16.5,0.94,-0.3,-1.8,48,2.0,0.96
male,17.0,0.96,-0.2,-1.2,34,0.8,0.99
male,17.5,0.98,-0.1,-0.7,19,0.8,0.99
