Paediatric Reference Ranges for Spirometry: NHANES III update (2008),FEV1(litre),,,,,,FVC (litre),,,,,,FEV1FVC (1),,,,,,FEF2575 (L/s),,,,,,FEV075(litre),,,,,,FEV075FVC(1),,,,,
Age,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,
(year),L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s
log link,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
log ht,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
coef  int,0,-11.1047846,-1.8009382,0,-10.27933984,-1.84729705,0,-11.6896501,-1.5853657,0,-11.0342204,-1.7676323,0,0.31380402,-3.3908484,0,0.4997604,-3.3947455,0,-7.95395119,-1.425505251,0,-6.5826187,-1.9445366,0,-9.60339929,-2.031934459,0,-10.15756031,-1.87804691,0,0.20914934,-2.40932579,0,0.58617016,-2.592107671
Height  cm,0,2.3395048,0,0,2.19870726,0,0,2.4365084,0,0,2.334112,0,0,-0.03323328,0,0,-0.0793916,0,0,1.80700694,0,0,1.6133475,0,0,2.0222263,0,0,2.13863145,0,0,-0.03715605,0,0,-0.13216689,0
coef age,0,0.148912,-0.1248596,0,0.03408397,-0.08155572,0,0.2795876,-0.2470621,0,0.1453117,-0.123112,0,-0.1504137,0.3696677,0,-0.1185497,0.3266679,0,-0.00490018,0.004887173,0,-0.2679831,0.2871433,0,0.02676122,-0.008781346,0,0.02140254,-0.02476799,0,-0.1027656,-0.04491048,0,-0.04523984,0.007361615
power age,1,0.25,0.25,1,0.25,0.25,1,0.25,0.25,1,0.25,0.25,1,0.25,0.25,1,0.25,0.25,1,1,1,1,0.25,0.25,1,1,1,1,1,1,1,0,0,1,0,0
3,1,-0.0747497974,0.1636834876,1,-0.1063872377,0.1371376576,1,-0.07614766841,0.1551218712,1,-0.1038995893,0.1987296524,4.04764836,0.006603801012,-0.08999103087,4.087730952,-0.007764149093,-0.1188791397,0.4537644682,-0.1008588757,0.1432415766,0.5265980809,-0.2537107491,0.2585850476,,,,,,,,,,,,
3.1,1,-0.07175320577,0.1566350169,1,-0.1024093594,0.1317492422,1,-0.07464690251,0.1488635805,1,-0.09993607758,0.1917639069,4.04764836,0.007001554469,-0.08575449299,4.087730952,-0.007125299421,-0.1123733279,0.4537644682,-0.1009696636,0.1410823205,0.5265980809,-0.2503603751,0.2517605454,1,0.0004421482019,0.0003074542842,1,0.0002490455415,0.0004996004406,2.227145918,0.01218185928,-0.0001243073513,3.273438127,-0.000968679468,-0.0001801273148
3.2,1,-0.06876790407,0.1497585274,1,-0.09855316107,0.1264913148,1,-0.07299087886,0.1427554293,1,-0.09608415701,0.1849648319,4.04764836,0.007367241005,-0.08161610001,4.087730952,-0.006520583498,-0.1060250216,0.4537644682,-0.1010785014,0.1389230328,0.5265980809,-0.2470951116,0.2450947051,1,0.0004224191656,0.0002944778883,1,0.0002369190843,0.0004747806687,2.227145918,0.0113776386,-0.0001115551596,3.273438127,-0.0007832918973,-0.0001647066282
