Week/Month,Years,HeightMaleL,HeightMaleM,HeightMaleS,HeightFemaleL,HeightFemaleM,HeightFemaleS,WeightMaleL,WeightMaleM,WeightMaleS,WeightFemaleL,WeightFemaleM,WeightFemaleS,BMIMaleL,BMIMaleM,BMIMaleS,BMIFemaleL,BMIFemaleM,BMIFemaleS,OFCMaleL,OFCMaleM,OFCMaleS,OFCFemaleL,OFCFemaleM,OFCFemaleS,Chart
23,-0.325804244,,,,,,,1.147,0.6145,0.15875,1.326,0.5589,0.17378,,,,,,,1,21.63267,0.04465746,1,21.10156,0.0662953,British1990
24,-0.306639288,,,,,,,1.126,0.7142,0.16249,1.278,0.6584,0.17716,,,,,,,1,22.66466,0.04660628,1,22.16809,0.06482162,British1990
25,-0.287474333,1,35.42414,0.08132453,1,34.59544,0.08086044,1.104,0.8167,0.16628,1.229,0.7611,0.18066,,,,,,,1,23.69877,0.04852065,1,23.23329,0.06331395,British1990
26,-0.268309377,1,36.42492,0.07862004,1,35.59771,0.07735533,1.083,0.9244,0.17007,1.181,0.8672,0.18429,,,,,,,1,24.7339,0.05032903,1,24.29014,0.06173639,British1990
27,-0.249144422,1,37.42772,0.07590725,1,36.60905,0.07386597,1.061,1.0364,0.17355,1.132,0.9775,0.18779,,,,,,,1,25.7583,0.05183461,1,25.32564,0.06007728,British1990
28,-0.229979466,1,38.42789,0.07314432,1,37.65832,0.07042367,1.04,1.1577,0.17663,1.084,1.0929,0.19058,,,,,,,1,26.73601,0.05277836,1,26.31602,0.05835389,British1990
29,-0.210814511,1,39.43673,0.07025966,1,38.76987,0.06701891,1.018,1.2898,0.17905,1.035,1.2166,0.19209,,,,,,,1,27.63749,0.05302389,1,27.25686,0.05650073,British1990
30,-0.191649555,1,40.48008,0.06722238,1,39.94117,0.06362674,0.997,1.436,0.18056,0.987,1.3593,0.19212,,,,,,,1,28.48013,0.05259097,1,28.15286,0.05443045,British1990
31,-0.1724846,1,41.57838,0.06404407,1,41.14154,0.06025431,0.975,1.605,0.18092,0.938,1.525,0.19052,,,,,,,1,29.28385,0.05156045,1,29.00924,0.05212006,British1990
32,-0.153319644,1,42.71663,0.06080197,1,42.34725,0.0569387,0.954,1.7993,0.1798,0.89,1.7118,0.1873,,,,,,,1,30.05091,0.05001475,1,29.81712,0.04956586,British1990
33,-0.134154689,1,43.87082,0.05758883,1,43.538,0.05372271,0.932,2.0156,0.17703,0.841,1.9163,0.18261,,,,,,,1,30.78144,0.04810781,1,30.56807,0.04687613,British1990
34,-0.114989733,1,45.01804,0.05449291,1,44.69314,0.05064634,0.911,2.2472,0.17262,0.793,2.1342,0.17659,,,,,,,1,31.47371,0.04598968,1,31.25904,0.04415755,British1990
35,-0.095824778,1,46.1415,0.05158876,1,45.79079,0.04773628,0.889,2.486,0.16668,0.744,2.3607,0.1694,,,,,,,1,32.12924,0.04376877,1,31.88534,0.04150212,British1990
36,-0.076659822,1,47.23352,0.04895293,1,46.81071,0.04500635,0.868,2.7257,0.15938,0.695,2.5903,0.16107,,,,,,,1,32.75117,0.04152338,1,32.44534,0.03897662,British1990
37,-0.057494867,1,48.28677,0.0466417,1,47.73972,0.04248754,0.846,2.9594,0.15117,0.647,2.8164,0.15165,,,,,,,1,33.34215,0.03930918,1,32.94206,0.03661936,British1990
38,-0.038329911,1,49.2766,0.04469878,1,48.57771,0.04026448,0.825,3.1778,0.14258,0.598,3.0334,0.14174,,,,,,,1,33.89909,0.03717904,1,33.38124,0.0344432,British1990
39,-0.019164956,1,50.16595,0.04315059,1,49.33962,0.03839778,0.803,3.3769,0.13469,0.55,3.2362,0.13249,,,,,,,1,34.41823,0.03517313,1,33.77464,0.03242938,British1990
40,0,1,50.94454,0.04197628,1,50.01719,0.0369674,0.782,3.5551,0.12851,0.501,3.413,0.12481,,,,,,,1,34.91071,0.0332788,1,34.13042,0.03055761,British1990
41,0.019164956,1,51.64579,0.04100319,1,50.62523,0.03608866,0.76,3.7172,0.12412,0.453,3.5539,0.11855,,,,,,,1,35.38669,0.0314591,1,34.4652,0.02876645,British1990
42,0.038329911,1,52.30513,0.03994391,1,51.20649,0.03570984,0.739,3.8702,0.12085,0.404,3.6743,0.11308,,,,,,,1,35.85209,0.02967462,1,34.79057,0.02701415,British1990
2,0.038329911,1,52.3461,0.03652,1,51.512,0.03694,0.2581,3.7529,0.14142,0.2304,3.5693,0.14339,0.4177,13.6377,0.09454,0.5082,13.4501,0.09741,1,35.86,0.0326,1,35.23,0.0325,WHO2006
3,0.057494867,1,53.3905,0.03609,1,52.4695,0.03669,0.2442,4.0603,0.13807,0.2024,3.8352,0.1406,0.3449,14.2241,0.0923,0.4263,13.9505,0.09647,1,36.52,0.032,1,35.84,0.0323,WHO2006
4,0.076659822,1,54.3881,0.0357,1,53.3809,0.03647,0.2331,4.3671,0.13497,0.1789,4.0987,0.13805,0.2881,14.7714,0.09072,0.3637,14.4208,0.09577,1,37.09,0.0315,1,36.38,0.0322,WHO2006
1,0.083333333,1,54.7244,0.03557,1,53.6872,0.0364,0.2297,4.4709,0.13395,0.1714,4.1873,0.13724,0.2708,14.9441,0.09027,0.3448,14.5679,0.09556,1,37.28,0.0313,1,36.55,0.0321,WHO2006
5,0.095824778,1,55.3374,0.03534,1,54.2454,0.03627,0.2237,4.659,0.13215,0.1582,4.3476,0.13583,0.2409,15.2355,0.08953,0.3124,14.8157,0.0952,1,37.6,0.0311,1,36.85,0.032,WHO2006
6,0.114989733,1,56.2357,0.03501,1,55.0642,0.03609,0.2155,4.9303,0.1296,0.1395,4.5793,0.13392,0.2003,15.6107,0.08859,0.2688,15.138,0.09472,1,38.06,0.0307,1,37.27,0.0319,WHO2006
7,0.134154689,1,57.0851,0.0347,1,55.8406,0.03593,0.2081,5.1817,0.12729,0.1224,4.795,0.13228,0.1645,15.9169,0.08782,0.2306,15.4063,0.09431,1,38.48,0.0304,1,37.66,0.0318,WHO2006
8,0.153319644,1,57.8889,0.03442,1,56.5767,0.03578,0.2014,5.4149,0.1252,0.1065,4.9959,0.13087,0.1324,16.1698,0.08717,0.1966,15.6311,0.09394,1,38.87,0.0301,1,38.02,0.0317,WHO2006
2,0.166666667,1,58.4249,0.03424,1,57.0673,0.03568,0.197,5.5675,0.12385,0.0962,5.1282,0.13,0.1118,16.3195,0.08677,0.1749,15.7679,0.09371,1,39.13,0.03,1,38.25,0.0317,WHO2006
9,0.1724846,1,58.6536,0.03416,1,57.2761,0.03564,0.1952,5.6319,0.1233,0.0918,5.1842,0.12966,0.1032,16.3787,0.08661,0.1658,15.8232,0.09361,1,39.24,0.0299,1,38.35,0.0317,WHO2006
10,0.191649555,1,59.3872,0.03392,1,57.9436,0.03552,0.1894,5.8346,0.12157,0.0779,5.3618,0.12861,0.0766,16.5494,0.08612,0.1377,15.9874,0.09332,1,39.58,0.0297,1,38.67,0.0316,WHO2006
11,0.210814511,1,60.0894,0.03369,1,58.5816,0.0354,0.184,6.0242,0.12001,0.0648,5.5295,0.1277,0.052,16.6882,0.08569,0.1118,16.1277,0.09304,1,39.9,0.0295,1,38.97,0.0315,WHO2006
12,0.229979466,1,60.7605,0.03348,1,59.1922,0.0353,0.1789,6.2019,0.1186,0.0525,5.6883,0.12691,0.0291,16.8016,0.08531,0.0877,16.2485,0.09279,1,40.21,0.0293,1,39.25,0.0315,WHO2006
13,0.249144422,1,61.4013,0.03329,1,59.7773,0.0352,0.174,6.369,0.11732,0.0407,5.8393,0.12622,0.0077,16.895,0.08496,0.0652,16.3531,0.09255,1,40.5,0.0292,1,39.52,0.0314,WHO2006
3,0.25,1,61.4292,0.03328,1,59.8029,0.0352,0.1738,6.3762,0.11727,0.0402,5.8458,0.12619,0.0068,16.8987,0.08495,0.0643,16.3574,0.09254,1,40.51,0.0292,1,39.53,0.0314,WHO2006
4,0.333333333,1,63.886,0.03257,1,62.0899,0.03486,0.1553,7.0023,0.11316,-0.005,6.4237,0.12402,-0.0727,17.1579,0.08378,-0.0191,16.6703,0.09166,1,41.63,0.0287,1,40.58,0.0312,WHO2006
5,0.416666667,1,65.9026,0.03204,1,64.0301,0.03463,0.1395,7.5105,0.1108,-0.043,6.8985,0.12274,-0.137,17.2919,0.08296,-0.0864,16.8386,0.09096,1,42.56,0.0284,1,41.46,0.031,WHO2006
6,0.5,1,67.6236,0.03165,1,65.7311,0.03448,0.1257,7.934,0.10958,-0.0756,7.297,0.12204,-0.1913,17.3422,0.08234,-0.1429,16.9083,0.09036,1,43.33,0.0282,1,42.2,0.0309,WHO2006
7,0.583333333,1,69.1645,0.03139,1,67.2873,0.03441,0.1134,8.297,0.10902,-0.1039,7.6422,0.12178,-0.2385,17.3288,0.08183,-0.1916,16.902,0.08984,1,43.98,0.028,1,42.83,0.0308,WHO2006
8,0.666666667,1,70.5994,0.03124,1,68.7498,0.0344,0.1021,8.6151,0.10882,-0.1288,7.9487,0.12181,-0.2802,17.2647,0.0814,-0.2344,16.8404,0.08939,1,44.53,0.028,1,43.37,0.0306,WHO2006
9,0.75,1,71.9687,0.03117,1,70.1435,0.03444,0.0917,8.9014,0.10881,-0.1507,8.2254,0.12199,-0.3176,17.1662,0.08102,-0.2725,16.7406,0.08898,1,45,0.0279,1,43.83,0.0305,WHO2006
