name = ukwho
year = 1990-2006
yname = ofc
sex = male
distribution = LMS
citation = British 1990 reference data, reanalysed 2009
publication = UK-WHO
[data]
X               L   M          S		
-0.325804244			
-0.306639288			
-0.287474333			
-0.268309377			
-0.249144422			
-0.229979466			
-0.210814511			
-0.191649555			
-0.1724846			
-0.153319644			
-0.134154689			
-0.114989733			
-0.095824778			
-0.076659822			
-0.057494867			
-0.038329911			
-0.019164956			
0			
0.019164956			
0.038329911			
0.038329911	    0.5082	13.4501	0.09741
0.057494867	    0.4263	13.9505	0.09647
0.076659822	    0.3637	14.4208	0.09577
0.083333333	    0.3448	14.5679	0.09556
0.095824778	    0.3124	14.8157	0.0952
0.114989733	    0.2688	15.138	0.09472
0.134154689	    0.2306	15.4063	0.09431
0.153319644	    0.1966	15.6311	0.09394
0.166666667	    0.1749	15.7679	0.09371
0.1724846	    0.1658	15.8232	0.09361
0.191649555	    0.1377	15.9874	0.09332
0.210814511	    0.1118	16.1277	0.09304
0.229979466	    0.0877	16.2485	0.09279
0.249144422	    0.0652	16.3531	0.09255
0.25	        0.0643	16.3574	0.09254
0.333333333	-0.0191	16.6703	0.09166
0.416666667	-0.0864	16.8386	0.09096
0.5	        -0.1429	16.9083	0.09036
0.583333333	-0.1916	16.902	0.08984
0.666666667	-0.2344	16.8404	0.08939
0.75	    -0.2725	16.7406	0.08898
0.833333333	-0.3068	16.6184	0.08861
0.916666667	-0.3381	16.4875	0.08828
1	        -0.3667	16.3568	0.08797
1.083333333	-0.3932	16.2311	0.08768
1.166666667	-0.4177	16.1128	0.08741
1.25	    -0.4407	16.0028	0.08716
1.333333333	-0.4623	15.9017	0.08693
1.416666667	-0.4825	15.8096	0.08671
1.5	        -0.5017	15.7263	0.0865
1.583333333	-0.5199	15.6517	0.0863
1.666666667	-0.5372	15.5855	0.08612
1.75	    -0.5537	15.5278	0.08594
1.833333333	-0.5695	15.4787	0.08577
1.916666667	-0.5846	15.438	0.0856
2	        -0.5989	15.4052	0.08545
2	        -0.5684	15.6881	0.08454
2.083333333	-0.5684	15.659	0.08452
2.166666667	-0.5684	15.6308	0.08449
2.25	    -0.5684	15.6037	0.08446
2.333333333	-0.5684	15.5777	0.08444
2.416666667	-0.5684	15.5523	0.08443
2.5	        -0.5684	15.5276	0.08444
2.583333333	-0.5684	15.5034	0.08448
2.666666667	-0.5684	15.4798	0.08455
2.75	    -0.5684	15.4572	0.08467
2.833333333	-0.5684	15.4356	0.08484
2.916666667	-0.5684	15.4155	0.08506
3	        -0.5684	15.3968	0.08535
3.083333333	-0.5684	15.3796	0.08569
3.166666667	-0.5684	15.3638	0.08609
3.25	    -0.5684	15.3493	0.08654
3.333333333	-0.5684	15.3358	0.08704
3.416666667	-0.5684	15.3233	0.08757
3.5	        -0.5684	15.3116	0.08813
3.583333333	-0.5684	15.3007	0.08872
3.666666667	-0.5684	15.2905	0.08931
3.75	    -0.5684	15.2814	0.08991
3.833333333	-0.5684	15.2732	0.09051
3.916666667	-0.5684	15.2661	0.0911
4	        -0.5684	15.2602	0.09168
4	        -1.151	15.656	0.08728
4.083	    -1.157	15.639	0.0877
4.167	    -1.163	15.622	0.08814
4.25	    -1.169	15.605	0.0886
4.333	    -1.175	15.589	0.08906
4.417	    -1.181	15.573	0.08954
4.5	        -1.187	15.557	0.09004
4.583	    -1.193	15.542	0.09054
4.667	    -1.198	15.528	0.09106
4.75	    -1.204	15.515	0.0916
4.833	    -1.209	15.503	0.09214
4.917	    -1.215	15.492	0.0927
5	        -1.22	15.483	0.09326
5.083	    -1.225	15.475	0.09384
5.167	    -1.231	15.468	0.09443
5.25	    -1.236	15.463	0.09503
5.333	    -1.241	15.46	0.09563
5.417	    -1.245	15.457	0.09624
5.5	        -1.25	15.457	0.09686
5.583	    -1.255	15.458	0.09749
5.667	    -1.26	15.461	0.09812
5.75	    -1.264	15.465	0.09875
5.833	    -1.269	15.47	0.0994
5.917	    -1.273	15.477	0.10004
6	        -1.277	15.485	0.10069
6.083	    -1.281	15.494	0.10135
6.167	    -1.286	15.506	0.102
6.25	    -1.289	15.517	0.10266
6.333	    -1.293	15.53	0.10332
6.417	    -1.297	15.544	0.10397
6.5	        -1.301	15.56	0.10463
6.583	    -1.304	15.577	0.10529
6.667	    -1.308	15.596	0.10595
6.75	    -1.311	15.614	0.1066
6.833	    -1.314	15.635	0.10725
6.917	    -1.317	15.656	0.10789
7	        -1.32	15.677	0.10854
7.083	    -1.323	15.7	0.10918
7.167	    -1.325	15.723	0.10981
7.25	    -1.328	15.748	0.11044
7.333	    -1.33	15.772	0.11106
7.417	    -1.332	15.798	0.11167
7.5	        -1.334	15.824	0.11228
7.583	    -1.336	15.85	0.11288
7.667	    -1.338	15.877	0.11346
7.75	    -1.339	15.905	0.11404
7.833	    -1.341	15.934	0.11461
7.917	    -1.342	15.963	0.11517
8	        -1.344	15.993	0.11572
8.083	    -1.345	16.022	0.11625
8.167	    -1.345	16.054	0.11679
8.25	    -1.346	16.085	0.1173
8.333	    -1.347	16.118	0.1178
8.417	    -1.347	16.15	0.1183
8.5	        -1.348	16.184	0.11879
8.583	    -1.348	16.218	0.11926
8.667	    -1.348	16.253	0.11972
8.75	    -1.349	16.288	0.12017
8.833	    -1.349	16.324	0.1206
8.917	    -1.348	16.361	0.12103
9	        -1.348	16.399	0.12144
9.083	    -1.348	16.437	0.12185
9.167	    -1.347	16.475	0.12223
9.25	    -1.347	16.515	0.12261
9.333	    -1.346	16.555	0.12298
9.417	    -1.346	16.596	0.12333
9.5	        -1.345	16.637	0.12367
9.583	    -1.344	16.679	0.124
9.667	    -1.343	16.722	0.12432
9.75	    -1.342	16.765	0.12462
9.833	    -1.341	16.809	0.12492
9.917	    -1.34	16.853	0.1252
10	        -1.339	16.898	0.12547
10.083	    -1.338	16.943	0.12573
10.167	    -1.337	16.99	0.12598
10.25	    -1.336	17.036	0.12622
10.333	    -1.334	17.083	0.12644
10.417	    -1.333	17.131	0.12666
10.5	    -1.332	17.179	0.12687
10.583	    -1.33	17.227	0.12706
10.667	    -1.329	17.277	0.12725
10.75	    -1.327	17.327	0.12742
10.833	    -1.326	17.377	0.12759
10.917	    -1.324	17.427	0.12774
11	        -1.322	17.478	0.12789
11.083	    -1.321	17.53	0.12803
11.167	    -1.319	17.581	0.12816
11.25	    -1.318	17.634	0.12827
11.333	    -1.316	17.687	0.12838
11.417	    -1.314	17.739	0.12849
11.5	    -1.312	17.793	0.12858
11.583	    -1.311	17.846	0.12866
11.667	    -1.309	17.9	0.12875
11.75	    -1.307	17.954	0.12882
11.833	    -1.306	18.008	0.12888
11.917	    -1.304	18.062	0.12894
12	        -1.302	18.117	0.12899
12.083	    -1.3	18.172	0.12903
12.167	    -1.299	18.227	0.12907
12.25	    -1.297	18.281	0.1291
12.333	    -1.295	18.337	0.12913
12.417	    -1.293	18.391	0.12915
12.5	    -1.291	18.446	0.12917
12.583	    -1.29	18.5	0.12918
12.667	    -1.288	18.555	0.12918
12.75	    -1.286	18.61	0.12919
12.833	    -1.284	18.664	0.12919
12.917	    -1.283	18.718	0.12918
13	        -1.281	18.772	0.12917
13.083	    -1.279	18.825	0.12916
13.167	    -1.277	18.88	0.12914
13.25	    -1.276	18.932	0.12913
13.333	    -1.274	18.985	0.1291
13.417	    -1.272	19.038	0.12908
13.5	    -1.271	19.09	0.12905
13.583	    -1.269	19.142	0.12902
13.667	    -1.267	19.194	0.12899
13.75	    -1.266	19.244	0.12895
13.833	    -1.264	19.295	0.12892
13.917	    -1.262	19.345	0.12888
14	        -1.261	19.395	0.12884
14.083	    -1.259	19.445	0.12879
