name = ukwho
year = 1990-2006
yname = height
sex = male
distribution = LMS
citation = British 1990 reference data, reanalysed 2009
publication = UK-WHO
[data]
X               L       M          S		
-0.325804244                       
-0.306639288                       
-0.287474333    1       35.42414   0.08132453        
-0.268309377    1       36.42492   0.07862004        
-0.249144422    1       37.42772   0.07590725        
-0.229979466    1       38.42789   0.07314432        
-0.210814511    1       39.43673   0.07025966        
-0.191649555    1       40.48008   0.06722238        
-0.1724846      1       41.57838   0.06404407        
-0.153319644    1       42.71663   0.06080197        
-0.134154689    1       43.87082   0.05758883        
-0.114989733    1       45.01804   0.05449291        
-0.095824778    1       46.1415    0.05158876    
-0.076659822    1       47.23352   0.04895293        
-0.057494867    1       48.28677   0.0466417        
-0.038329911    1       49.2766    0.04469878    
-0.019164956    1       50.16595   0.04315059        
0               1       50.94454   0.04197628        
0.019164956     1       51.64579   0.04100319        
0.038329911     1       52.30513   0.03994391        
0.038329911     1       52.3461    0.03652    
0.057494867     1       53.3905    0.03609    
0.076659822     1       54.3881    0.0357    
0.083333333     1       54.7244    0.03557    
0.095824778     1       55.3374    0.03534    
0.114989733     1       56.2357    0.03501    
0.134154689     1       57.0851    0.0347    
0.153319644     1       57.8889    0.03442    
0.166666667     1       58.4249    0.03424    
0.1724846       1       58.6536    0.03416    
0.191649555     1       59.3872    0.03392    
0.210814511     1       60.0894    0.03369    
0.229979466     1       60.7605    0.03348    
0.249144422     1       61.4013    0.03329    
0.25            1       61.4292    0.03328    
0.333333333     1       63.886     0.03257    
0.416666667     1       65.9026    0.03204    
0.5             1       67.6236    0.03165    
0.583333333     1       69.1645    0.03139    
0.666666667     1       70.5994    0.03124    
0.75            1       71.9687    0.03117    
0.833333333     1       73.2812    0.03118    
0.916666667     1       74.5388    0.03125    
1               1       75.7488    0.03137    
1.083333333     1       76.9186    0.03154    
1.166666667     1       78.0497    0.03174    
1.25            1       79.1458    0.03197    
1.333333333     1       80.2113    0.03222    
1.416666667     1       81.2487    0.0325    
1.5             1       82.2587    0.03279    
1.583333333     1       83.2418    0.0331    
1.666666667     1       84.1996    0.03342    
1.75            1       85.1348    0.03376    
1.833333333     1       86.0477    0.0341    
1.916666667     1       86.941     0.03445    
2               1       87.8161    0.03479    
2               1       87.1161    0.03507    
2.083333333     1       87.972     0.03542    
2.166666667     1       88.8065    0.03576    
2.25            1       89.6197    0.0361    
2.333333333     1       90.412     0.03642    
2.416666667     1       91.1828    0.03674    
2.5             1       91.9327    0.03704    
2.583333333     1       92.6631    0.03733    
2.666666667     1       93.3753    0.03761    
2.75            1       94.0711    0.03787    
2.833333333     1       94.7532    0.03812    
2.916666667     1       95.4236    0.03836    
3               1       96.0835    0.03858    
3.083333333     1       96.7337    0.03879    
3.166666667     1       97.3749    0.039    
3.25            1       98.0073    0.03919    
3.333333333     1       98.631     0.03937    
3.416666667     1       99.2459    0.03954    
3.5             1       99.8515    0.03971    
3.583333333     1       100.4485   0.03986        
3.666666667     1       101.0374   0.04002        
3.75            1       101.6186   0.04016        
3.833333333     1       102.1933   0.04031        
3.916666667     1       102.7625   0.04045        
4               1       103.3273   0.04059        
4               1       102.49     0.04008    
4.083           1       103.06     0.04021    
4.167           1       103.64     0.04033    
4.25            1       104.22     0.04045    
4.333           1       104.8      0.04057    
4.417           1       105.4      0.04068    
4.5             1       106        0.04078
4.583           1       106.6      0.04089    
4.667           1       107.21     0.04098    
4.75            1       107.81     0.04107    
4.833           1       108.41     0.04115    
4.917           1       109.01     0.04123    
5               1       109.59     0.04131    
5.083           1       110.16     0.04137    
5.167           1       110.73     0.04144    
5.25            1       111.28     0.04149    
5.333           1       111.81     0.04155    
5.417           1       112.35     0.0416    
5.5             1       112.87     0.04165    
5.583           1       113.38     0.0417    
5.667           1       113.9      0.04174    
5.75            1       114.41     0.04178    
5.833           1       114.92     0.04182    
5.917           1       115.43     0.04186    
6               1       115.93     0.0419    
6.083           1       116.44     0.04193    
6.167           1       116.94     0.04197    
6.25            1       117.44     0.042    
6.333           1       117.94     0.04203    
6.417           1       118.43     0.04206    
6.5             1       118.93     0.04209    
6.583           1       119.42     0.04212    
6.667           1       119.91     0.04216    
6.75            1       120.41     0.04219    
6.833           1       120.9      0.04223    
6.917           1       121.4      0.04227    
7               1       121.9      0.04231    
7.083           1       122.4      0.04236    
7.167           1       122.9      0.0424    
7.25            1       123.4      0.04245    
7.333           1       123.9      0.04249    
7.417           1       124.4      0.04254    
7.5             1       124.9      0.04259    
7.583           1       125.4      0.04263    
7.667           1       125.89     0.04267    
7.75            1       126.39     0.04272    
7.833           1       126.87     0.04276    
7.917           1       127.36     0.0428    
8               1       127.85     0.04284    
8.083           1       128.33     0.04289    
8.167           1       128.8      0.04293    
8.25            1       129.27     0.04297    
8.333           1       129.74     0.04302    
8.417           1       130.19     0.04307    
8.5             1       130.64     0.04312    
8.583           1       131.09     0.04318    
8.667           1       131.54     0.04324    
8.75            1       131.97     0.0433    
8.833           1       132.41     0.04337    
8.917           1       132.84     0.04344    
9               1       133.28     0.04351    
9.083           1       133.71     0.04359    
9.167           1       134.14     0.04367    
9.25            1       134.57     0.04376    
9.333           1       134.99     0.04384    
9.417           1       135.42     0.04394    
9.5             1       135.84     0.04403    
9.583           1       136.26     0.04413    
9.667           1       136.68     0.04423    
9.75            1       137.1      0.04433    
9.833           1       137.53     0.04444    
9.917           1       137.96     0.04456    
10              1       138.39     0.04468    
10.083          1       138.82     0.0448    
10.167          1       139.26     0.04493    
10.25           1       139.69     0.04506    
10.333          1       140.12     0.0452    
10.417          1       140.54     0.04534    
10.5            1       140.96     0.04548    
10.583          1       141.37     0.04562    
10.667          1       141.78     0.04577    
10.75           1       142.18     0.04592    
10.833          1       142.58     0.04607    
10.917          1       142.98     0.04623    
11              1       143.37     0.04638    
11.083          1       143.77     0.04654    
11.167          1       144.16     0.0467    
11.25           1       144.55     0.04687    
11.333          1       144.95     0.04704    
11.417          1       145.34     0.04721    
11.5            1       145.75     0.04738    
11.583          1       146.16     0.04755    
11.667          1       146.58     0.04774    
11.75           1       147.02     0.04792    
11.833          1       147.46     0.0481    
11.917          1       147.91     0.04829    
12              1       148.36     0.04848    
12.083          1       148.83     0.04868    
12.167          1       149.31     0.04887    
12.25           1       149.81     0.04906    
12.333          1       150.31     0.04926    
12.417          1       150.83     0.04945    
12.5            1       151.35     0.04964    
12.583          1       151.89     0.04983    
12.667          1       152.44     0.05001    
12.75           1       153        0.05019
12.833          1       153.58     0.05037    
12.917          1       154.17     0.05053    
13              1       154.77     0.05068    
13.083          1       155.38     0.05083    
13.167          1       156        0.05095
13.25           1       156.63     0.05107    
13.333          1       157.27     0.05116    
13.417          1       157.91     0.05123    
13.5            1       158.55     0.05129    
13.583          1       159.2      0.05132    
13.667          1       159.84     0.05133    
13.75           1       160.47     0.05131    
13.833          1       161.11     0.05126    
13.917          1       161.74     0.0512    
14              1       162.36     0.0511    
14.083          1       162.97     0.05098    
14.167          1       163.58     0.05083    
14.25           1       164.17     0.05065    
14.333          1       164.75     0.05045    
14.417          1       165.33     0.05023    
14.5            1       165.88     0.04998    
14.583          1       166.43     0.04971    
14.667          1       166.96     0.04942    
14.75           1       167.48     0.04912    
14.833          1       167.98     0.04879    
14.917          1       168.47     0.04846    
15              1       168.94     0.04811    
15.083          1       169.4      0.04776    
15.167          1       169.84     0.0474    
15.25           1       170.26     0.04703    
15.333          1       170.67     0.04666    
15.417          1       171.06     0.0463    
15.5            1       171.43     0.04594    
15.583          1       171.79     0.04558    
15.667          1       172.14     0.04522    
15.75           1       172.48     0.04488    
15.833          1       172.79     0.04454    
