name = ukwho
year = 1990-2006
yname = ofc
sex = male
distribution = LMS
citation = British 1990 reference data, reanalysed 2009
publication = UK-WHO
[data]
X               L   M          S		
-0.325804244	1	21.63267	0.04465746
-0.306639288	1	22.66466	0.04660628
-0.287474333	1	23.69877	0.04852065
-0.268309377	1	24.7339	0.05032903
-0.249144422	1	25.7583	0.05183461
-0.229979466	1	26.73601	0.05277836
-0.210814511	1	27.63749	0.05302389
-0.191649555	1	28.48013	0.05259097
-0.1724846	    1	29.28385	0.05156045
-0.153319644	1	30.05091	0.05001475
-0.134154689	1	30.78144	0.04810781
-0.114989733	1	31.47371	0.04598968
-0.095824778	1	32.12924	0.04376877
-0.076659822	1	32.75117	0.04152338
-0.057494867	1	33.34215	0.03930918
-0.038329911	1	33.89909	0.03717904
-0.019164956	1	34.41823	0.03517313
0	            1	34.91071	0.0332788
0.019164956	1	35.38669	0.0314591
0.038329911	1	35.85209	0.02967462
0.038329911	1	35.86	0.0326
0.057494867	1	36.52	0.032
0.076659822	1	37.09	0.0315
0.083333333	1	37.28	0.0313
0.095824778	1	37.6	0.0311
0.114989733	1	38.06	0.0307
0.134154689	1	38.48	0.0304
0.153319644	1	38.87	0.0301
0.166666667	1	39.13	0.03
0.1724846	1	39.24	0.0299
0.191649555	1	39.58	0.0297
0.210814511	1	39.9	0.0295
0.229979466	1	40.21	0.0293
0.249144422	1	40.5	0.0292
0.25	    1	40.51	0.0292
0.333333333	1	41.63	0.0287
0.416666667	1	42.56	0.0284
0.5	        1	43.33	0.0282
0.583333333	1	43.98	0.028
0.666666667	1	44.53	0.028
0.75	    1	45	0.0279
0.833333333	1	45.41	0.0279
0.916666667	1	45.76	0.0279
1	        1	46.07	0.0279
1.083333333	1	46.34	0.0279
1.166666667	1	46.58	0.0279
1.25	    1	46.81	0.0279
1.333333333	1	47.01	0.028
1.416666667	1	47.2	0.028
1.5	        1	47.37	0.028
1.583333333	1	47.54	0.028
1.666666667	1	47.69	0.0281
1.75	    1	47.84	0.0281
1.833333333	1	47.98	0.0281
1.916666667	1	48.12	0.0282
2	        1	48.25	0.0282
2	        1	48.25	0.0282
2.083333333	1	48.38	0.0283
2.166666667	1	48.5	0.0283
2.25	    1	48.62	0.0283
2.333333333	1	48.73	0.0284
2.416666667	1	48.83	0.0284
2.5	        1	48.94	0.0285
2.583333333	1	49.03	0.0285
2.666666667	1	49.13	0.0286
2.75	    1	49.22	0.0286
2.833333333	1	49.3	0.0286
2.916666667	1	49.38	0.0287
3	        1	49.46	0.0287
3.083333333	1	49.54	0.0288
3.166666667	1	49.61	0.0288
3.25	    1	49.68	0.0288
3.333333333	1	49.75	0.0289
3.416666667	1	49.81	0.0289
3.5	        1	49.87	0.0289
3.583333333	1	49.94	0.029
3.666666667	1	49.99	0.029
3.75	    1	50.05	0.029
3.833333333	1	50.11	0.0291
3.916666667	1	50.16	0.0291
4	        1	50.21	0.0291
4	        1	52.215	0.02809
4.083	    1	52.266	0.02813
4.167	    1	52.315	0.02818
4.25	    1	52.362	0.02822
4.333	    1	52.409	0.02827
4.417	    1	52.455	0.02831
4.5	        1	52.499	0.02835
4.583	    1	52.543	0.02839
4.667	    1	52.585	0.02842
4.75	    1	52.626	0.02846
4.833	    1	52.667	0.02849
4.917	    1	52.708	0.02852
5	        1	52.747	0.02855
5.083	    1	52.786	0.02858
5.167	    1	52.823	0.02861
5.25	    1	52.86	0.02864
5.333	    1	52.896	0.02867
5.417	    1	52.932	0.02869
5.5	        1	52.967	0.02872
5.583	    1	53.002	0.02874
5.667	    1	53.036	0.02876
5.75	    1	53.07	0.02878
5.833	    1	53.103	0.0288
5.917	    1	53.136	0.02883
6	        1	53.168	0.02884
6.083	    1	53.2	0.02886
6.167	    1	53.232	0.02888
6.25	    1	53.264	0.0289
6.333	    1	53.294	0.02892
6.417	    1	53.325	0.02893
6.5	        1	53.356	0.02895
6.583	    1	53.387	0.02896
6.667	    1	53.416	0.02898
6.75	    1	53.446	0.02899
6.833	    1	53.476	0.029
6.917	    1	53.505	0.02902
7	        1	53.534	0.02903
7.083	    1	53.563	0.02904
7.167	    1	53.591	0.02905
7.25	    1	53.62	0.02907
7.333	    1	53.649	0.02908
7.417	    1	53.676	0.02909
7.5	        1	53.704	0.0291
7.583	    1	53.732	0.02911
7.667	    1	53.76	0.02912
7.75	    1	53.787	0.02913
7.833	    1	53.814	0.02914
7.917	    1	53.841	0.02915
8	        1	53.867	0.02916
8.083	    1	53.893	0.02917
8.167	    1	53.92	0.02918
8.25	    1	53.946	0.02919
8.333	    1	53.972	0.0292
8.417	    1	53.998	0.02921
8.5	        1	54.024	0.02922
8.583	    1	54.05	0.02923
8.667	    1	54.076	0.02924
