name = ukwho
year = 1990-2006
yname = ofc
sex = female
distribution = LMS
citation = British 1990 reference data, reanalysed 2009
publication = UK-WHO
[data]
X               L   M          S		
-0.325804244	1	21.10156	0.0662953
-0.306639288	1	22.16809	0.06482162
-0.287474333	1	23.23329	0.06331395
-0.268309377	1	24.29014	0.06173639
-0.249144422	1	25.32564	0.06007728
-0.229979466	1	26.31602	0.05835389
-0.210814511	1	27.25686	0.05650073
-0.191649555	1	28.15286	0.05443045
-0.1724846	    1	29.00924	0.05212006
-0.153319644	1	29.81712	0.04956586
-0.134154689	1	30.56807	0.04687613
-0.114989733	1	31.25904	0.04415755
-0.095824778	1	31.88534	0.04150212
-0.076659822	1	32.44534	0.03897662
-0.057494867	1	32.94206	0.03661936
-0.038329911	1	33.38124	0.0344432
-0.019164956	1	33.77464	0.03242938
0	            1	34.13042	0.03055761
0.019164956	    1	34.4652	    0.02876645
0.038329911	    1	34.79057	0.02701415
0.038329911	    1	35.23	    0.0325
0.057494867	    1	35.84	    0.0323
0.076659822	    1	36.38	    0.0322
0.083333333	    1	36.55	    0.0321
0.095824778	    1	36.85	    0.032
0.114989733	    1	37.27	    0.0319
0.134154689	    1	37.66	    0.0318
0.153319644	    1	38.02	    0.0317
0.166666667	    1	38.25	    0.0317
0.1724846	    1	38.35	    0.0317
0.191649555	    1	38.67	    0.0316
0.210814511	    1	38.97	    0.0315
0.229979466	    1	39.25	    0.0315
0.249144422	    1	39.52	    0.0314
0.25	        1	39.53	    0.0314
0.333333333	    1	40.58	    0.0312
0.416666667	    1	41.46	    0.031
0.5	            1	42.2	    0.0309
0.583333333	    1	42.83	    0.0308
0.666666667	    1	43.37	    0.0306
0.75	        1	43.83	    0.0305
0.833333333	    1	44.23	    0.0304
0.916666667	    1	44.58	    0.0304
1	            1	44.9	    0.0303
1.083333333	    1	45.18	    0.0302
1.166666667	    1	45.43	    0.0301
1.25	        1	45.66	    0.0301
1.333333333	    1	45.87	    0.03
1.416666667	    1	46.06	    0.0299
1.5	            1	46.24	    0.0299
1.583333333	    1	46.42	    0.0298
1.666666667	    1	46.58	    0.0298
1.75	        1	46.74	    0.0297
1.833333333	    1	46.89	    0.0297
1.916666667	    1	47.04	    0.0296
2	            1	47.18	    0.0296
2	            1	47.18	    0.0296
2.083333333	    1	47.32	    0.0295
2.166666667	    1	47.45	    0.0295
2.25	        1	47.58	    0.0295
2.333333333	    1	47.7	    0.0294
2.416666667	    1	47.82	    0.0294
2.5	            1	47.93	    0.0293
2.583333333	    1	48.04	    0.0293
2.666666667	    1	48.14	    0.0293
2.75	        1	48.24	    0.0292
2.833333333	    1	48.33	    0.0292
2.916666667	    1	48.42	    0.0292
3	            1	48.51	    0.0291
3.083333333	    1	48.59	    0.0291
3.166666667	    1	48.67	    0.0291
3.25	        1	48.75	    0.029
3.333333333	    1	48.82	    0.029
3.416666667	    1	48.89	    0.029
3.5	            1	48.96	    0.0289
3.583333333	    1	49.03	    0.0289
3.666666667	    1	49.09	    0.0289
3.75	        1	49.16	    0.0289
3.833333333	    1	49.22	    0.0288
3.916666667	    1	49.28	    0.0288
4	            1	49.33	    0.0288
4	            1	51.104	    0.02342
4.083	        1	51.156	    0.02339
4.167	        1	51.208	    0.02336
4.25	        1	51.258	    0.02332
4.333	        1	51.309	    0.02329
4.417	        1	51.358	    0.02326
4.5	            1	51.406	    0.02323
4.583	        1	51.454	    0.02321
4.667	        1	51.501	    0.02318
4.75	        1	51.546	    0.02316
4.833	        1	51.591	    0.02314
4.917	        1	51.637	    0.02311
5	            1	51.681	    0.02309
5.083	        1	51.725	    0.02307
5.167	        1	51.768	    0.02306
5.25	        1	51.81	    0.02304
5.333	        1	51.852	    0.02303
5.417	        1	51.893	    0.02301
5.5	            1	51.934	    0.023
5.583	        1	51.975	    0.02299
5.667	        1	52.014	    0.02298
5.75	        1	52.053	    0.02297
5.833	        1	52.092	    0.02296
5.917	        1	52.131	    0.02295
6	            1	52.169	    0.02294
6.083	        1	52.207	    0.02294
6.167	        1	52.244	    0.02293
6.25	        1	52.281	    0.02293
6.333	        1	52.318	    0.02293
6.417	        1	52.355	    0.02293
6.5	            1	52.391	    0.02292
6.583	        1	52.427	    0.02292
6.667	        1	52.462	    0.02292
6.75	        1	52.498	    0.02293
6.833	        1	52.533	    0.02293
6.917	        1	52.568	    0.02293
7	            1	52.604	    0.02293
7.083	        1	52.638	    0.02294
7.167	        1	52.673	    0.02294
7.25	        1	52.707	    0.02295
7.333	        1	52.741	    0.02296
7.417	        1	52.775	    0.02296
7.5	            1   52.809	    0.02297
7.583	        1	52.842	    0.02298
7.667	        1	52.876	    0.02299
7.75	        1	52.909	    0.023
7.833	        1	52.942	    0.02301
7.917	        1	52.975	    0.02302
8	            1	53.008	    0.02303
8.083	        1	53.041	    0.02304
8.167	        1	53.073	    0.02305
8.25	        1	53.106	    0.02306
8.333	        1	53.138	    0.02308
8.417	        1	53.169	    0.02309
8.5	            1	53.201  	0.0231
8.583	        1	53.232	    0.02312
8.667	        1	53.264	    0.02313
8.75	        1	53.295	    0.02315
8.833	        1	53.326	    0.02316
8.917	        1	53.357	    0.02318
9	            1	53.387	    0.0232
9.083	        1	53.417	    0.02321
9.167	        1	53.448	    0.02323
9.25	        1	53.477	    0.02325
9.333	        1	53.507	    0.02327
9.417	        1	53.537	    0.02328
9.5	            1	53.566	    0.0233
9.583	        1	53.595	    0.02332
9.667	        1	53.624	    0.02334
9.75	        1	53.653	    0.02336
9.833	        1	53.681	    0.02338
9.917	        1	53.71	    0.0234
10	            1   53.738	    0.02342
10.083	        1	53.766	    0.02344
10.167	        1	53.794	    0.02346
10.25	        1	53.821	    0.02348
10.333	        1	53.848	    0.0235
10.417	        1	53.875	    0.02352
10.5	        1	53.902	    0.02354
10.583	        1	53.929	    0.02356
10.667	        1	53.955	    0.02358
10.75	        1	53.982	    0.0236
10.833	        1	54.007	    0.02362
10.917	        1	54.033	    0.02364
11	            1	54.06	    0.02366
11.083	        1	54.085	    0.02369
11.167	        1	54.11	    0.02371
11.25	        1	54.135	    0.02373
11.333	        1	54.16	    0.02375
11.417	        1	54.185	    0.02377
11.5	        1	54.21	    0.02379
11.583	        1	54.235	    0.02381
11.667	        1	54.259	    0.02384
11.75	        1	54.283	    0.02386
11.833	        1	54.307	    0.02388
11.917	        1	54.331	    0.0239
12	            1   54.355	    0.02392
12.083	        1	54.378	    0.02394
12.167	        1	54.401	    0.02396
12.25	        1	54.424	    0.02398
12.333	        1	54.447	    0.024
12.417	        1	54.47	    0.02403
12.5	        1	54.492	    0.02405
12.583	        1	54.515	    0.02407
12.667	        1	54.537	    0.02409
12.75	        1	54.559	    0.02411
12.833	        1	54.581	    0.02413
12.917	        1	54.603	    0.02415
13	            1	54.624	    0.02417
13.083	        1	54.646	    0.02419
13.167	        1	54.667	    0.02421
13.25	        1	54.688	    0.02423
13.333	        1	54.71	    0.02425
13.417	        1	54.731	    0.02427
13.5	        1	54.751	    0.02429
13.583	        1	54.772	    0.02431
13.667	        1	54.793	    0.02433
13.75	        1	54.813	    0.02435
13.833	        1	54.833	    0.02437
13.917	        1	54.853	    0.02439
14	            1	54.873	    0.02441
14.083	        1	54.894	    0.02442
14.167	        1	54.913	    0.02444
14.25	        1	54.933	    0.02446
14.333	        1	54.953	    0.02448
14.417	        1	54.972	    0.0245
14.5	        1	54.992	    0.02452
14.583	        1	55.011	    0.02454
14.667	        1	55.03	    0.02455
14.75	        1	55.049	    0.02457
14.833	        1	55.068	    0.02459
14.917	        1	55.087	    0.02461
15	            1	55.106	    0.02462
15.083	        1	55.124	    0.02464
15.167	        1	55.142	    0.02466
15.25	        1	55.161	    0.02468
15.333	        1	55.179	    0.0247
15.417	        1	55.197	    0.02471
15.5	        1	55.215	    0.02473
15.583	        1	55.234	    0.02475
15.667	        1	55.251	    0.02476
15.75	        1	55.269	    0.02478
15.833	        1	55.286	    0.0248
15.917	        1	55.304	    0.02481
16	            1	55.321	    0.02483
16.083	        1	55.339	    0.02485
16.167	        1	55.355	    0.02486
16.25	        1	55.373	    0.02488
16.333	        1	55.39	    0.02489
16.417	        1	55.406	    0.02491
16.5	        1	55.424	    0.02493
16.583	        1	55.441	    0.02494
16.667	        1	55.457	    0.02496
16.75	        1	55.474	    0.02497
16.833	        1	55.491	    0.02499
16.917	        1	55.506	    0.02501
17	            1	55.52	    0.02501
17.083			
17.167			
17.25			
17.333			
17.417			
17.5			
17.583			
17.667			
17.75			
17.833			
17.917			
18			
18.083			
18.167			
18.25			
18.333			
18.417			
18.5			
18.583			
18.667			
18.75			
18.833			
18.917			
19			
19.083			
19.167			
