name = ukwho
year = 1990-2006
yname = weight
sex = male
distribution = LMS
citation = British 1990 reference data, reanalysed 2009
publication = UK-WHO
[data]
X               L       M       S		
-0.33	        1.15	0.61	0.16
-0.31	        1.13	0.71	0.16
-0.29	        1.10	0.82	0.17
-0.27	        1.08	0.92	0.17
-0.25	        1.06	1.04	0.17
-0.23	        1.04	1.16	0.18
-0.21	        1.02	1.29	0.18
-0.19	        1.00	1.44	0.18
-0.17	        0.98	1.61	0.18
-0.15	        0.95	1.80	0.18
-0.13	        0.93	2.02	0.18
-0.11	        0.91	2.25	0.17
-0.10	        0.89	2.49	0.17
-0.08	        0.87	2.73	0.16
-0.06	        0.85	2.96	0.15
-0.04	        0.83	3.18	0.14
-0.02	        0.80	3.38	0.13
0	            0.78	3.56	0.13
0.02	        0.76	3.72	0.12
0.04	        0.74	3.87	0.12
0.04	        0.26	3.75	0.14
0.06	        0.24	4.06	0.14
0.08	        0.23	4.37	0.13
0.08	        0.23	4.47	0.13
0.10	        0.22	4.66	0.13
0.11	        0.22	4.93	0.13
0.13	        0.21	5.18	0.13
0.15	        0.20	5.41	0.13
0.17	        0.20	5.57	0.12
0.17	        0.20	5.63	0.12
0.19	        0.19	5.83	0.12
0.21	        0.18	6.02	0.12
0.23	        0.18	6.20	0.12
0.25	        0.17	6.37	0.12
0.25	        0.17	6.38	0.12
0.33	        0.16	7.00	0.11
0.42	        0.14	7.51	0.11
0.50	        0.13	7.93	0.11
0.58	        0.11	8.30	0.11
0.67	        0.10	8.62	0.11
0.75	        0.09	8.90	0.11
0.83	        0.08	9.16	0.11
0.92	        0.07	9.41	0.11
1	            0.06	9.65	0.11
1.08	        0.06	9.87	0.11
1.17	        0.05	10.10	0.11
1.25	        0.04	10.31	0.11
1.33	        0.03	10.52	0.11
1.42	        0.03	10.73	0.11
1.50	        0.02	10.94	0.11
1.58	        0.01	11.14	0.11
1.67	        0.01	11.35	0.11
1.75	        0.00	11.55	0.11
1.83	        0.00	11.75	0.11
1.92	        -0.01	11.95	0.11
2	            -0.01	12.15	0.11
2	            -0.01	12.15	0.11
2.08	        -0.02	12.35	0.11
2.17	        -0.02	12.55	0.12
2.25	        -0.03	12.74	0.12
2.33	        -0.03	12.93	0.12
2.42	        -0.04	13.12	0.12
2.50	        -0.04	13.30	0.12
2.58	        -0.05	13.48	0.12
2.67	        -0.05	13.66	0.12
2.75	        -0.06	13.83	0.12
2.83	        -0.06	14.00	0.12
2.92	        -0.06	14.17	0.12
