name = ukwho
year = 1990-2006
yname = weight
sex = female
distribution = LMS
citation = British 1990 reference data, reanalysed 2009
publication = UK-WHO
[data]
X               L           M          S		
-0.325804244    1.326       0.5589   0.17378        
-0.306639288    1.278       0.6584   0.17716        
-0.287474333    1.229       0.7611   0.18066
-0.268309377    1.181       0.8672   0.18429
-0.249144422    1.132       0.9775   0.18779
-0.229979466    1.084       1.0929   0.19058
-0.210814511    1.035       1.2166   0.19209
-0.191649555    0.987       1.3593   0.19212
-0.1724846      0.938       1.525   0.19052
-0.153319644    0.89        1.7118   0.1873
-0.134154689    0.841       1.9163   0.18261
-0.114989733    0.793       2.1342   0.17659
-0.095824778    0.744       2.3607    0.1694
-0.076659822    0.695       2.5903   0.16107
-0.057494867    0.647       2.8164   0.15165
-0.038329911    0.598       3.0334    0.14174
-0.019164956    0.55        3.2362   0.13249
0               10.01       3.413   0.12481
0.019164956     0.453       3.5539   0.11855
0.038329911     0.404       3.6743   0.11308
0.038329911     0.2304      3.5693    0.14339
0.057494867     0.2024      3.8352    0.1406
0.076659822     0.1789      4.0987    0.13805
0.083333333     0.1714      4.1873    0.13724
0.095824778     0.1582      4.3476    0.13583
0.114989733     0.1395      4.5793    0.13392
0.134154689     0.1224      4.795    0.13228
0.153319644     0.1065      4.9959    0.13087
0.166666667     0.0962      5.1282    0.13
0.1724846       0.0918      5.1842    0.12966
0.191649555     0.0779      5.3618    0.12861
0.210814511     0.0648      5.5295    0.1277
0.229979466     0.0525      5.6883    0.12691
0.249144422     0.0407      5.8393    0.12622
0.25            0.0402      5.8458    0.12619
0.333333333     -0.005      6.4237     0.12402
0.416666667     -0.043      6.8985    0.12274
0.5             -0.0756     7.297    0.12204
0.583333333     -0.1039     7.6422    0.12178
0.666666667     -0.1288     7.9487    0.12181
0.75            -0.1507     8.2254    0.12199
0.833333333     -0.17       8.48    0.12223
0.916666667     -0.1872     8.7192    0.12247
1               -0.2024     8.9481    0.12268
1.083333333     -0.2158     9.1699    0.12283
1.166666667     -0.2278     9.387    0.12294
1.25            -0.2384     9.6008    0.12299
1.333333333     -0.2478     9.8124    0.12303
1.416666667     -0.2562     10.0226    0.12306
1.5             -0.2637     10.2315    0.12309
1.583333333     -0.2703     10.4393    0.12315
1.666666667     -0.2762     10.6464    0.12323
1.75            -0.2815     10.8534    0.12335
1.833333333     -0.2862     11.0608    0.1235
1.916666667     -0.2903     11.2688     0.12369
2               -0.2941     11.4775    0.1239
2               -0.2941     11.4775    0.1239
2.083333333     -0.2975     11.6864     0.12414
2.166666667     -0.3005     11.8947    0.12441
2.25            -0.3032     12.1015    0.12472
2.333333333     -0.3057     12.3059     0.12506
2.416666667     -0.308      12.5073    0.12545
2.5             -0.3101     12.7055    0.12587
2.583333333     -0.312      12.9006    0.12633
2.666666667     -0.3138     13.093    0.12683
2.75            -0.3155     13.2837    0.12737
2.833333333     -0.3171     13.4731    0.12794
2.916666667     -0.3186     13.6618    0.12855
3               -0.3201     13.8503    0.12919
3.083333333     -0.3216     14.0385    0.12988
3.166666667     -0.323      14.2265    0.13059
3.25            -0.3243     14.414    0.13135
3.333333333     -0.3257     14.601     0.13213
3.416666667     -0.327      14.7873    0.13293
3.5             -0.3283     14.9727    0.13376
3.583333333     -0.3296     15.1573   0.1346
3.666666667     -0.3309     15.341   0.13545
3.75            -0.3322     15.524   0.1363
3.833333333     -0.3335     15.7064   0.13716
3.916666667     -0.3348     15.8882   0.138
4               -0.3361     16.0697   0.13884
4               -0.516      16.198     0.1244
4.083           -0.524      16.3661     0.12512
4.167           -0.532      16.5359     0.12584
4.25            -0.539      16.706     0.12657
4.333           -0.547      16.8781      0.12731
4.417           -0.555      17.0519      0.12806
4.5             -0.563      17.227.0.12881
4.583           -0.57       17.4041      0.12957
4.667           -0.578      17.5819     0.13033
4.75            -0.585      17.761     0.1311
4.833           -0.592      17.9401     0.13186
4.917           -0.6        18.1198     0.13264
5               -0.607      18.299     0.1334
5.083           -0.614      18.4791     0.13416
5.167           -0.621      18.6581     0.13493
5.25            -0.627      18.837     0.13569
5.333           -0.634      19.017     0.13643
5.417           -0.64       19.1967     0.13719
5.5             -0.647      19.377     0.13794
5.583           -0.653      19.5581     0.13868
5.667           -0.659      19.7404      0.13942
5.75            -0.665      19.925     0.14016
5.833           -0.672      20.11     0.1409
5.917           -0.678      20.2972     0.14165
6               -0.684      20.486     0.14239
6.083           -0.689      20.6778     0.14315
6.167           -0.695      20.871     0.14391
6.25            -0.701      21.066     0.14468
6.333           -0.707      21.2629     0.14547
6.417           -0.712      21.4633     0.14626
6.5             -0.718      21.667     0.14706
6.583           -0.723      21.8742     0.14788
6.667           -0.729      22.086     0.14872
6.75            -0.734      22.302     0.14958
6.833           -0.739      22.5234      0.15045
6.917           -0.744      22.749      0.15134
7               -0.749      22.98      0.15225
7.083           -0.754      23.2141      0.15317
7.167           -0.758      23.4517      0.15409
7.25            -0.762      23.691      0.155
7.333           -0.766      23.933      0.15591
7.417           -0.77       24.1756      0.15682
7.5             -0.774      24.419      0.15772
7.583           -0.777      24.6625      0.1586
7.667           -0.78       24.907     0.15947
7.75            -0.783      25.153     0.16033
7.833           -0.785      25.398     0.16117
7.917           -0.787      25.6434     0.16201
8               -0.789      25.889     0.16282
8.083           -0.79       26.1335     0.16363
8.167           -0.792      26.378      0.16443
8.25            -0.792      26.622     0.16521
8.333           -0.793      26.8659     0.16599
8.417           -0.793      27.1105     0.16677
8.5             -0.793      27.355     0.16754
8.583           -0.793      27.6011     0.16832
8.667           -0.792      27.85     0.16909
8.75            -0.791      28.101     0.16987
8.833           -0.789      28.3567     0.17064
8.917           -0.787      28.6159     0.17141
9               -0.785      28.88     0.17218
9.083           -0.782      29.1481     0.17294
9.167           -0.779      29.4203     0.17369
9.25            -0.776      29.697     0.17445
9.333           -0.772      29.9771     0.1752
9.417           -0.768      30.2597     0.17594
9.5             -0.764      30.545     0.17668
9.583           -0.758      30.8335     0.17742
9.667           -0.753      31.1243     0.17816
9.75            -0.747      31.417      0.17891
9.833           -0.74       31.7122     0.17967
9.917           -0.733      32.0096     0.18044
10              -0.725      32.308     0.18122
10.083          -0.717      32.6075     0.18201
10.167          -0.708      32.9083     0.1828
10.25           -0.699      33.212     0.18359
10.333          -0.69       33.5147     0.18437
10.417          -0.68       33.8213     0.18514
10.5            -0.669      34.129     0.18588
10.583          -0.658      34.4393     0.1866
10.667          -0.647      34.7518     0.18729
10.75           -0.635      35.068     0.18794
10.833          -0.623      35.3845     0.18855
10.917          -0.61       35.7048     0.18911
11              -0.597      36.03     0.18961
11.083          -0.584      36.3582     0.19004
11.167          -0.57       36.6911     0.1904
11.25           -0.556      37.029     0.19066
11.333          -0.541      37.3731     0.19082
11.417          -0.526      37.7197     0.19089
11.5            -0.511      38.074     0.19084
11.583          -0.496      38.4331     0.19067
11.667          -0.48       38.7977     0.19039
11.75           -0.465      39.168     0.19
11.833          -0.449      39.5443     0.1895
11.917          -0.434      39.9272     0.18891
12              -0.418      40.316     0.18821
12.083          -0.403      40.7118     0.18743
12.167          -0.388      41.1136     0.18656
12.25           -0.374      41.5218     0.18563
12.333          -0.36       41.9359     0.18462
12.417          -0.347      42.3549     0.18355
12.5            -0.335      42.7779     0.18243
12.583          -0.324      43.2045     0.18128
12.667          -0.313      43.6328     0.18009
12.75           -0.304      44.0635.0.17887
12.833          -0.295      44.4952     0.17764
12.917          -0.288      44.9259     0.17641
13              -0.281      45.3568     0.17518
13.083          -0.276      45.7863     0.17395
13.167          -0.271      46.2121.0.17275
13.25           -0.268      46.6333     0.17156
13.333          -0.266      47.0457     0.1704
13.417          -0.265      47.4516     0.16924
13.5            -0.265      47.8494     0.16809
13.583          -0.266      48.2413      0.16693
13.667          -0.267      48.6218     0.16579
13.75           -0.27       48.993     0.16465
13.833          -0.274      49.3568     0.1635
13.917          -0.278      49.7081     0.16237
14              -0.284      50.052     0.16124
14.083          -0.289      50.3846     0.16014
14.167          -0.296      50.7117     0.15904
14.25           -0.303      51.024     0.15798
