name = uk90
year = 1990
yname = height
sex = female
distribution = LMS
citation = UK90
publication = British 1990 birthweight reference (post-natal data excluded)
[data]
X         L M          S		
-0.3258
-0.3066
-0.2875
-0.2683   1	35.59771    0.07735533
-0.2491   1	36.60905    0.07386597
-0.2300   1	37.65832    0.07042367
-0.2108   1	38.76987    0.06701891
-0.1916   1	39.94117    0.06362674
-0.1725   1	41.14154    0.06025431
-0.1533   1	42.34725    0.05693870
-0.1342   1	43.53800    0.05372271
-0.1150   1	44.69314    0.05064634
-0.0958   1	45.79079    0.04773628
-0.0767   1	46.81071    0.04500635
-0.0575   1	47.73972    0.04248754
-0.0383   1	48.57771    0.04026448
-0.0192   1	49.33962    0.03839778
0.0000    1	50.01719    0.03696740
0.0192    1	50.62523    0.03608866
0.0383    1	51.20649    0.03570984
0.0575    1	51.78445    0.03555745
