WHO 5-19 Reference (2007),,,,,,,,,,,,,,,,,,,
,,,Height,,,Height,,,Weight,,,Weight,,,BMI,,,BMI,
,,Boys,,,Girls,,,Boys,,,Girls,,,Boys,,,Girls,,
Month,Years,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S
61,5.08,1,110.2647,0.04164,1,109.6016,0.04355,-0.2026,18.5057,0.12988,-0.4681,18.2579,0.14295,-0.7387,15.2641,0.0839,-0.8886,15.2441,0.09692
62,5.17,1,110.8006,0.04172,1,110.1258,0.04364,-0.213,18.6802,0.13028,-0.4711,18.4329,0.1435,-0.7621,15.2616,0.08414,-0.9068,15.2434,0.09738
63,5.25,1,111.3338,0.0418,1,110.6451,0.04373,-0.2234,18.8563,0.13067,-0.4742,18.6073,0.14404,-0.7856,15.2604,0.08439,-0.9248,15.2433,0.09783
64,5.33,1,111.8636,0.04187,1,111.1596,0.04382,-0.2338,19.034,0.13105,-0.4773,18.7811,0.14459,-0.8089,15.2605,0.08464,-0.9427,15.2438,0.09829
65,5.42,1,112.3895,0.04195,1,111.6696,0.0439,-0.2443,19.2132,0.13142,-0.4803,18.9545,0.14514,-0.8322,15.2619,0.0849,-0.9605,15.2448,0.09875
66,5.50,1,112.911,0.04203,1,112.1753,0.04399,-0.2548,19.394,0.13178,-0.4834,19.1276,0.14569,-0.8554,15.2645,0.08516,-0.978,15.2464,0.0992
67,5.58,1,113.428,0.04211,1,112.6767,0.04407,-0.2653,19.5765,0.13213,-0.4864,19.3004,0.14624,-0.8785,15.2684,0.08543,-0.9954,15.2487,0.09966
68,5.67,1,113.941,0.04218,1,113.174,0.04415,-0.2758,19.7607,0.13246,-0.4894,19.473,0.14679,-0.9015,15.2737,0.0857,-1.0126,15.2516,0.10012
69,5.75,1,114.45,0.04226,1,113.6672,0.04423,-0.2864,19.9468,0.13279,-0.4924,19.6455,0.14735,-0.9243,15.2801,0.08597,-1.0296,15.2551,0.10058
70,5.83,1,114.9547,0.04234,1,114.1565,0.04431,-0.2969,20.1344,0.13311,-0.4954,19.818,0.1479,-0.9471,15.2877,0.08625,-1.0464,15.2592,0.10104
71,5.92,1,115.4549,0.04241,1,114.6421,0.04439,-0.3075,20.3235,0.13342,-0.4984,19.9908,0.14845,-0.9697,15.2965,0.08653,-1.063,15.2641,0.10149
72,6.00,1,115.9509,0.04249,1,115.1244,0.04447,-0.318,20.5137,0.13372,-0.5013,20.1639,0.149,-0.9921,15.3062,0.08682,-1.0794,15.2697,0.10195
73,6.08,1,116.4432,0.04257,1,115.6039,0.04454,-0.3285,20.7052,0.13402,-0.5043,20.3377,0.14955,-1.0144,15.3169,0.08711,-1.0956,15.276,0.10241
